,epoch,train loss,train accuracy,validate loss,validate accuracy
0,1,0.4236530096276101,87.61666666666666,0.04378659028146885,92.38
1,2,0.24878849233709163,92.735,0.03832942477143459,93.18
2,3,0.21727514256244657,93.65166666666667,0.03452984291935034,94.03
3,4,0.1984964160860252,94.25166666666667,0.034666864348372926,93.97
4,5,0.18467960231450956,94.605,0.03213597584549568,94.34
5,6,0.17474375280942808,94.96166666666667,0.03163840907361748,94.52
6,7,0.16759221604280572,95.06,0.03003646894745322,94.88
7,8,0.16099174404099806,95.32,0.03025952435886936,94.77
8,9,0.15590687875530676,95.485,0.030765651345455537,94.63
9,10,0.15177180007624347,95.585,0.028669535605880276,95.0
10,11,0.14847629224913303,95.65333333333334,0.028902346889839878,94.91
11,12,0.14488788556132806,95.75833333333334,0.02953471178496713,94.87
12,13,0.14276728359883084,95.84833333333333,0.02913439091019976,94.86
13,14,0.14049006219027932,95.86333333333333,0.028593710424608863,94.89
14,15,0.13840136790910224,95.97,0.02844881254391296,95.04
15,16,0.1364861650428157,96.00833333333334,0.02847390629843608,95.09
16,17,0.13516574310087193,96.13833333333334,0.028204765380806983,95.16
17,18,0.13387360400768486,96.05333333333333,0.027988793129331745,95.12
18,19,0.1328028581067443,96.105,0.028107219652932034,95.05
19,20,0.13137578143716366,96.15333333333334,0.028380322713416808,95.07
20,21,0.13025973001713437,96.20666666666666,0.028191037224119166,95.15
21,22,0.12947540000867425,96.20833333333333,0.028250707658444608,95.14
22,23,0.12889175455985483,96.27,0.028060667062136554,95.12
23,24,0.1280883549690755,96.28166666666667,0.027944430726757053,95.15
24,25,0.12740165377055596,96.29,0.027860073139642807,95.09
25,26,0.12671908528121043,96.32833333333333,0.027974943411963455,95.12
26,27,0.12639806254792696,96.33833333333334,0.027856443714010897,95.13
27,28,0.1258076094438447,96.34166666666667,0.027904756193700583,95.15
28,29,0.12536937066677536,96.35,0.027907659189710055,95.09
29,30,0.12503540034948,96.38833333333334,0.02779433399122129,95.09
